id,text
video10_1204,你們大沒有人性了
video10_1173,「不可能的住務，呢
video3_918,在那有旅館長官面前
video10_440,羅刷貴的會被退後我
video4_105,隨風可能爸爸……
video6_627,也要謹得拿堆分下
video3_997,一天到晚打電話來
video11_610,這個湯頭也一定很強
video7_635,這樣吃原味最好
video11_592,如果這一家統拽們體上了
video2_14,我都沒有講你們在吹牛
video1_265,我自己真的來過喉呀不好
video7_764,這棵談是體驗紀我顯得
video4_1379,真的是有小朋友的
video5_141,如果妳想要抬藤去別處
video1_1000,加上米看廣有黑糟
video8_1327,那種帶一點青紫的香味
video4_574,我也好希望我在這個咖啡廳
video1_304,以不被懸原始樹林的裡念
video1_730,體誠兩位壯子餓是吧對啊
video10_551,對戰戰怎麼沒想到
video6_37,不會再發生類似的事情了
video4_1057,爸爸在這兒小姐怎麼越
video3_227,以公上三點的指控
video9_113,朝著如……看的
video1_953,但是發比較富爾
video8_789,可是我覺得加摩花醋成加分肥
video7_113,而且我想得更成功的是
video5_121,這是發抖跟我吻
video8_1188,然後裡面還有加發場
video10_39,班長羅哪是不是已經堪了
video9_737,我告訴你有一家店很廣善
video10_82,羊點連緊到虛員
video10_226,之前不是比過了嗎？
video4_792,而且不同原間的生體
video3_216,與他私人的感情有關
video1_764,我跟你講貝實這個地方
video6_93,出那麼高幹麻！你不覺低啊
video10_1221,德西亞，妳想通了走不是
video6_680,他的肚臭說他沒不好，睡不著
video9_891,然後又是一個昏
video1_123,怎麼會在這種地方
video10_600,還留在上一個世紀的考兵
video4_768,但是你看很棒的是
video10_427,不過我有十足的把煙
video5_491,對於結果都談這麼有心
video9_468,好睡陋，彈性十足即
video8_276,突然想起來我剛來台灣的時候
video11_575,在面娘覺很日式明
video4_440,跟隨巴的溫度之後
video1_1001,更增加春氣和回應
video5_370,今年來醒懂的人
video3_877,他廢成地長大了問
video1_1020,是狄翰為的很好恨的牛爾鍋
video4_1420,它就直接放在這般堂裡面
video5_631,變得更成熟、更穩重
video8_660,因爲湯姆原是不是
video10_969,也文你的兩年事
video8_292,它這個的那個口威
video9_610,就是他們超變幻的子層至犧
video7_1243,那麼乾卡也究好慢慢對啊
video4_653,就會變成明子森爾
video4_1365,不過說到這個喔
video10_91,你沒有弄弄我，你不甘心
video11_1339,很像麻煩難的那種驚慌
video1_555,我總決有兩個願望，先說一個
video9_774,對先從遺憾關貼了好不好
video7_1128,好永好是在這邊了嗎？」
video8_976,跟那個風柴有黑輪胡跟發
video8_742,然後真那種很希服
video7_1300,我放定一下這個肉
video4_20,我不要在公園了啦
video9_54,她！在她一日義憂小姐難過
video4_516,我是說防妮娜有願度的感覺
video8_700,然後舉在那邊彈
