id,text
video10_1204,你們老師都這樣子了
video10_1173,再加奶粉的那種口感
video3_918,它可以跟班長剪這樣子
video10_440,真的是有新鮮才大聲
video4_105,只好從外面伸下去..
video6_627,在花蓮這邊很多漂亮
video3_997,來好多遍了 你告訴我
video11_610,這個蛋真的不是水波蛋嗎
video7_635,這螃蟹 喜歡吃螃蟹
video11_592,500 塊有一定比例的意外事了
video2_14,我說#媽媽要舒服她
video1_265,我是怎麼沒想到的 她氣喘如牛
video7_764,雞骨汁在裡面 對� 對
video4_1379,就的做得小均怎麼好
video5_141,如果妳耍花癡去別處
video1_1000,兩人都要把身體側過
video8_1327,那種酸酸的感覺 對
video4_574,我也好希望我在這個咖啡廳
video1_304,很有記憶點喔 好好吃喔
video1_730,請到我的東西她會很緊
video10_551,對於我這邊我要趕高鐵
video6_37,只好從外面伸下去了
video4_1057,就是南香梅瓜絲瓜的味道
video3_227,好似想迎的樣子
video9_113,很漂亮...有照相功能
video1_953,但是雞比較貴嘛
video8_789,只能想走進來吃這種好吃
video7_113,而且我覺得更感動的是
video5_121,喜歡我的作風喔
video8_1188,而且它這個肉汁那個
video10_39,弟弟 真妙 也虧你想出來了
video9_737,我要釣魚片一樣子喔
video10_82,媽呀 裡面肉沒吃過
video10_226,已經有些濕了 對
video4_792,其實不是美妙的感覺
video3_216,彈得她的穴水源源不竭
video1_764,我跟你講其實這個地方
video6_93,就跟說現在想到的啦
video10_1221,很了解就是我說了
video6_680,如果妳耍花癡去別處
video9_891,然後又是一個蛋糕
video1_123,島道真的是很港式的
video10_600,還有可能先前的消息
video4_768,在花蓮吃起來有點像
video10_427,不好我心 + 好我自己的風格
video5_491,就在課本上面的蛋糕
video9_468,好酷 這個好吃喔
video8_276,它拔絲地瓜聽說妳會超強
video11_575,很像餐酒廳的天窗
video4_440,味道隻隻的感覺好好
video1_1001,甘甜味十足的苦瓜排骨湯
video5_370,各位弟兄都這樣子
video3_877,待會兒有時間給你表現
video1_1020,喜歡那種帶兵的熱誠
video4_1420,它好像賣相不是很好啊
video5_631,但是我覺得有一點滑順
video8_660,因為現在比以前親蜜
video10_969,含得她渾身發抖
video8_292,它是美式的泡菜吧
video9_610,就是他們超夢幻的千層蛋糕
video7_1243,那種普通的古早味麵
video4_653,要花著時間啦 對不對
video4_1365,你揍我摟住她的陰戶
video10_91,你現在當我是乞丐人
video11_1339,你想要被魔鬼排長釘是不是
video1_555,我覺得會有衝動想要吃
video9_774,都跳出來這麼多次了 對不對
video7_1128,如果你進來這邊了嗎
video8_976,新鮮的創意還沒有混進來
video8_742,然後它沒有那麼的辣啦
video7_1300,我夾走一下步舿休息
video4_20,我也好希望他太多了啦
video9_54,只好竭力地忍耐著
video4_516,我覺得她沒有辦法應鑑測
video8_700,然後還可以去逛知名家居賣場
video11_1289,旁邊有那種更滑溜
video6_1106,真是在後面挺身的
video10_776,突然想起來我剛來台灣的時候
video1_584,先看著它的那個火鍋
video12_939,遺樣都是20 30 40 50
video9_1091,甘甜的味道超級明顯
video4_995,可是它的韭菜卻很特別
video12_347,因為我們比較常看見是
video7_1284,擦了妳愛心特效藥以後
video5_699,妳加奶粉的比例如果太多
video11_896,而且它火鍋了好像超強
video1_780,很不常吃的肉汁喔
video12_320,有沒有 就是選用厚切的
video3_539,媽呀 我再去罰站
video7_373,它是她比較快活的一整隻
video3_254,只好從外面伸下去
video7_60,喜歡那個蛋餅真的瞬間
video6_1228,小均也好吃喔 小均
video4_1242,像小穴洞實在太小的緣故
video4_560,看嘛 他在身邊偷看
video8_51,那我只好以動作給她滿意的答覆
video3_1510,一定會成功的啦 對
video9_360,因為現在我的頭是滑到她的
video5_500,都跳出來吃火鍋最過癮
video12_402,甘甜聲流流的湯奶
video2_500,剛剛來這邊快活了
video10_351,鹹豆漿的味道好不好
video4_63,於手榴彈投擲_做第三次投擲
video4_1148,那時候我一定要來這邊拍照
video9_589,就是你的豆漿蛋了
video8_629,很漂亮的那個天窗一樣
video2_1227,看我的手指像被小孩
video6_1063,只好從外面伸下去
video8_679,但是口感很多種
video9_289,快我快要升天的樣子
video2_865,它好像賣相不是很好
video12_884,你現在當我是乞丐嗎
video7_1248,這件事情 他有吧 她氣喘瘋狂
video1_916,就是台中非常有名的
video7_739,我的媽啊 想到30年以後
video3_342,很漂亮的地方吃法超
video3_580,很不怎麼可能的辦法非常多
video8_912,開始這樣的啦 對
video1_635,都讓你把錢給哥
video3_456,用討厭媚的技能做好
video8_1293,那它就是鮮肉汁喔
video8_258,它之前還有每天手工現做的
video10_514,用討厭鬼地球退訓吧
video10_906,必然要把我的手撕了
video1_570,那我怎麼啦 姊你你說說說
video9_980,現在比以前親蜜
video9_824,雞骨的各種脆口度了
video9_126,泡麵就是因為在裡面的餡料
video8_520,所以它那個熟一樣的感覺
video7_436,再加討厭鬼地球退訓
video12_1042,甘甜味十足的苦瓜排骨湯
video6_527,是很像骨頭求食牛
video11_1030,有沒有 檸檬氣泡了
video9_157,一副苦瓜排骨湯啊
video7_1090,那種穿透感的概念就是
video4_790,妳跟著怎麼樣的情書
video8_1027,它醃製得很好 對 對 對
video6_1032,對便祕很管用耶
video9_805,甘甜味十足的苦瓜排骨湯
video8_562,一定會成功的啦 對
video6_54,喜歡我的東西好
video10_47,媽呀 弟弟 你真是人間的麟兒
video7_346,我覺得她滿意的把我的指哥
video7_315,就是大家一定都會把它包著
video4_222,現在比以前親蜜更多猛
video6_772,箍得她沒有講其實
video5_309,再給我說咬起來好
video4_1176,都跳出來一點喔 對不對
video7_1199,台式鹹酥雞的味道
video4_1484,她不能跟我說話
video6_1070,這裡就有我們三個
video11_1153,浴室太小 我快活死了
video10_651,就是她超夢幻的精神
video7_1329,可是我們沒有油炸過
video8_401,但是雞比較貴嘛 對
video5_49,然後再炒 大火炒
video7_1223,那種可以先打電話預留
video4_121,對啊 可是它的味道只能說
video12_894,就有所以我們要吃切仔麵
video9_513,裡裡外外都透著湯
video9_682,還挺動一個猛力的肉棒棒
video1_668,但我們剛剛那個冷氣按
video3_1549,塊是很多甜味的
video4_804,不然你講� 你想吃什麼
video4_387,它了解就是因為老闆
video10_841,他們說平常吃火鍋了
video11_1337,哥我的快感愈加尖銳地挺出來
video10_1043,突然想起來的時候
video1_1091,隨又加奶粉的那種感覺
video9_913,是它完全就是剩下甜味
video10_434,不要趕高鐵啊，呢
video6_333,妳好像給我帶來吃啊
video5_747,兩眼開開地挺動臀部
video9_178,就是咖啡的有點辦法
video10_43,快我要去吃知名店家
video11_367,好，它的河粉真好吃
video9_1152,吃飽飽回民宿休息
video8_273,那是花蓮玉里的西瓜排
video3_512,我看她氣喘如牛
video10_447,我相信在一定時候要來
video5_224,其實的時候就是在裡面
video8_1449,那種蛋香的味道非常的濃
video9_572,我覺得炸春捲配可以口味感
video11_1234,我的快感愈加尖銳地挺出來
video8_1394,快感的程度愈增高 Q彈
video4_677,一般外國的朋友到是拍照啊
video4_902,你來幫我搬東西... 好弟弟
video7_1081,我覺得這一家會很棒
video11_861,叫我作牛作馬我都願意
video12_757,喲 真妙，blue sky above喲
video9_1007,有沒有 對 說完
video4_104,只好從外面伸下去..
video7_633,雞骨湯蛤蜊絲瓜..
video8_1224,它拔絲地瓜聽說
video10_574,再多扛一條也沒差
video4_589,妳走到邊邊去廁所洗耶
video4_961,妳做的比較好啦 對啦
video9_13,噢 弟你再用點勁嗯對對
video4_194,我覺得爸爸真的輸慘
video11_1192,因為因為口感很好
video12_565,很可愛的這種咖啡
video10_768,對 是不是在我自己的心情
video3_1010,我說好弟弟 你真聰明
video12_662,很濃的那個肉汁
video3_892,因為再度納入地瓜的時候
video12_1255,就是選用厚切的口感般
video4_153,現在，有些濕... 我輕聲地說
video8_1291,我還看到那個知名家居賣場
video4_1409,真的是有新鮮才大聲
video3_424,就算咱們吃就是給
video9_169,可是它的肉味是非常香的
video3_1315,妳走到邊邊去抽送
video12_360,它的韭菜的那個水油
video4_1489,很濃的... 好弟弟
video4_1518,越，越來越狹的
video8_1446,還有獨家的創意吃法超意外
video6_448,媽呀 姊姊 你怎麼可愛
video4_1568,而且那個油味都好像
video1_879,其實在這裡整個粉漿都有耶
video1_70,也許是舌頭的硬度不夠
video12_129,很漂亮邛 好像咖啡廳喔
video4_1283,你的花樣真多 好喝喔
video4_813,我們完全渾忘任何事
video12_824,這個湯頭也是第一名
video7_349,只好竭力地忍耐著她
video12_10,我們現在這時了 對
